provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
CAB,2,388037,Privado,Urbano,2,2,432.70657,422.64853,-.16514647,2,2,1,1,7,7,CENTRO,2
CAB,2,388038,Privado,Urbano,3,3,482.89896,504.40302,1.3385952,3,2,2,1,7,7,CENTRO,2
CAB,2,388039,Privado,Urbano,3,3,528.62512,522.52295,.84882277,2,2,2,1,5,5,CENTRO,2
CAB,2,388040,Privado,Urbano,4,3,552.46918,532.0448,.19123879,2,2,1,1,4,4,CENTRO,2
CAB,2,388041,Privado,Urbano,4,4,654.55353,616.77161,.27874237,2,3,1,2,7,7,CENTRO,2
CAB,2,388042,Privado,Urbano,3,3,538.05499,551.57104,.4497599,2,2,2,1,7,7,CENTRO,2
CAB,2,388043,Privado,Urbano,3,1,489.79587,382.55447,1.1077862,3,2,2,1,7,5,CENTRO,2
CAB,2,388044,Privado,Urbano,2,3,403.41006,499.83966,.5337413,2,2,2,1,7,7,CENTRO,2
CAB,2,388045,Privado,Urbano,4,3,562.29187,545.52704,.82441878,2,2,2,1,7,4,CENTRO,2
CAB,2,388046,Privado,Urbano,4,3,725.88885,557.01465,.84191614,2,2,2,1,7,7,CENTRO,2
CAB,2,388048,Privado,Urbano,4,4,658.46588,618.10876,.34218234,2,2,2,1,7,7,CENTRO,2
CAB,2,388049,Privado,Urbano,4,3,548.43762,476.10635,1.086651,3,2,1,1,7,7,CENTRO,2
CAB,2,388050,Privado,Urbano,2,3,434.0076,533.34564,.68791789,2,2,1,1,4,4,CENTRO,2
CAB,2,388051,Privado,Urbano,4,2,567.23444,443.03629,1.2546139,3,2,2,1,7,7,CENTRO,2
CAB,2,388052,Privado,Urbano,4,3,605.81531,568.10278,.26816222,2,2,2,1,5,5,CENTRO,2
CAB,2,388053,Privado,Urbano,4,4,593.82104,616.45844,.8628999,2,2,2,1,6,4,CENTRO,2
CAB,1,396079,Privado,Urbano,4,3,565.0094,507.63577,-.44251001,2,2,1,1,3,7,CENTRO,2
CAB,2,396051,Privado,Urbano,3,3,519.84802,538.3811,.92589754,2,2,1,1,7,7,CENTRO,2
CAB,1,396080,Privado,Urbano,4,3,612.3905,585.53455,1.0097276,3,1,2,0,7,7,CENTRO,2
CAB,1,396081,Privado,Urbano,4,4,643.24194,655.94958,-.18462946,2,2,1,1,7,7,CENTRO,2
CAB,1,396082,Privado,Urbano,3,4,543.59882,675.40564,.10725737,2,2,1,1,4,4,CENTRO,2
CAB,1,396083,Privado,Urbano,3,3,545.31244,562.3598,1.2546139,3,2,2,1,7,7,CENTRO,2
CAB,1,396084,Privado,Urbano,3,3,538.12189,574.78278,1.0938604,3,2,2,1,7,7,CENTRO,2
CAB,1,396085,Privado,Urbano,3,3,539.94757,563.77747,1.0026697,3,3,2,2,7,7,CENTRO,2
CAB,1,396086,Privado,Urbano,4,3,596.89435,509.26111,1.4225767,3,2,2,1,7,7,CENTRO,2
CAB,1,396087,Privado,Urbano,4,3,601.38153,509.30399,-.74744141,2,2,1,1,7,4,CENTRO,2
CAB,1,396088,Privado,Urbano,2,1,420.64932,348.43881,.88039726,2,5,1,4,7,7,CENTRO,2
CAB,1,396089,Privado,Urbano,3,3,521.61963,529.17786,1.1706324,3,2,2,1,7,7,CENTRO,2
CAB,1,396090,Privado,Urbano,4,3,640.50128,534.51428,1.0552279,3,2,2,1,7,6,CENTRO,2
CAB,2,396052,Privado,Urbano,4,4,632.15186,652.89081,1.1706324,3,2,2,1,7,7,CENTRO,2
CAB,2,396054,Privado,Urbano,4,4,582.45721,606.71973,-.10281706,2,2,1,1,7,4,CENTRO,2
CAB,2,396055,Privado,Urbano,3,3,469.02261,585.11255,1.1706324,3,2,2,1,7,7,CENTRO,2
CAB,2,396056,Privado,Urbano,4,2,568.0564,440.92645,.68420684,2,2,-9,1,7,4,CENTRO,2
CAB,2,396057,Privado,Urbano,4,4,655.58844,621.79779,1.3071721,3,2,2,1,7,6,CENTRO,2
CAB,2,396058,Privado,Urbano,4,3,627.97333,510.73825,1.2091135,3,2,2,1,6,7,CENTRO,2
CAB,2,396059,Privado,Urbano,4,3,564.59192,526.4986,1.2091135,3,2,2,1,6,7,CENTRO,2
CAB,2,396060,Privado,Urbano,4,3,616.80463,519.85364,-.27833885,2,2,2,1,7,7,CENTRO,2
CAB,2,396061,Privado,Urbano,3,1,458.48044,402.62833,.76484132,2,2,1,1,5,5,CENTRO,2
CAB,2,396062,Privado,Urbano,4,3,609.29651,488.9837,.60393649,2,3,1,2,4,4,CENTRO,2
CAB,2,396063,Privado,Urbano,4,3,577.89148,549.53235,.68085986,2,2,2,1,5,5,CENTRO,2
CAB,2,396064,Privado,Urbano,4,4,622.28644,602.43494,.46754816,2,2,1,1,5,6,CENTRO,2
CAB,2,396065,Privado,Urbano,4,4,650.61981,617.86322,1.0238048,3,2,2,1,7,5,CENTRO,2
CAB,2,396066,Privado,Urbano,3,3,522.89581,486.43866,.69449478,2,2,2,1,7,7,CENTRO,2
CAB,2,396067,Privado,Urbano,4,3,577.13214,557.55676,.20472226,2,2,2,1,5,5,CENTRO,2
