provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
SFE,3,779470,Estatal,Urbano,1,2,335.29077,447.06546,-.31555301,2,2,2,1,5,5,CENTRO,2
SFE,3,779471,Estatal,Urbano,3,2,490.90173,456.51529,.28208801,2,2,2,1,5,3,CENTRO,2
SFE,3,779472,Estatal,Urbano,3,1,538.93744,404.85907,-.39659232,2,2,2,1,1,3,CENTRO,2
SFE,3,779473,Estatal,Urbano,3,1,493.85544,375.57727,-.36118677,2,2,2,1,5,2,CENTRO,2
SFE,3,779474,Estatal,Urbano,2,1,401.1051,366.28754,-.38251513,2,2,2,1,2,2,CENTRO,2
SFE,3,779475,Estatal,Urbano,4,3,637.13519,578.85046,-.16195221,2,2,2,1,4,2,CENTRO,2
SFE,3,779476,Estatal,Urbano,3,1,497.8548,318.14383,.35199222,2,2,2,1,4,4,CENTRO,2
SFE,4,779514,Estatal,Urbano,3,2,472.74744,424.42221,-.26001084,2,2,2,1,6,6,CENTRO,2
SFE,4,779515,Estatal,Urbano,1,2,388.33676,414.00558,-1.3197123,1,2,2,1,4,4,CENTRO,2
SFE,4,779516,Estatal,Urbano,2,1,403.46741,395.76657,.52010643,2,2,2,1,5,5,CENTRO,2
SFE,4,779517,Estatal,Urbano,4,2,558.25446,457.72467,-.61376655,2,2,2,1,3,3,CENTRO,2
SFE,4,779522,Estatal,Urbano,3,1,452.88263,389.50934,.60393649,2,2,2,1,6,6,CENTRO,2
SFE,4,779523,Estatal,Urbano,3,2,470.89505,445.09399,-.82480842,2,2,2,1,3,3,CENTRO,2
SFE,4,779529,Estatal,Urbano,2,1,390.75241,349.94565,-1.7261945,1,2,2,1,3,4,CENTRO,2
SFE,4,779534,Estatal,Urbano,1,2,389.46405,425.35703,.19814539,2,2,2,1,3,2,CENTRO,2
SFE,4,779535,Estatal,Urbano,2,1,422.08722,353.03653,.85584193,2,2,2,1,7,5,CENTRO,2
SFE,4,779536,Estatal,Urbano,1,1,374.03543,372.57269,.097162612,2,2,2,1,7,3,CENTRO,2
SFE,4,779537,Estatal,Urbano,3,3,487.81223,471.49948,1.086651,3,2,2,1,7,7,CENTRO,2
SFE,4,779538,Estatal,Urbano,4,1,559.68622,393.30615,.26489347,2,2,2,1,7,2,CENTRO,2
SFE,4,779540,Estatal,Urbano,3,2,522.76434,425.35703,.4497599,2,2,2,1,7,7,CENTRO,2
SFE,4,779541,Estatal,Urbano,1,1,371.03674,291.40964,.51289707,2,3,2,2,5,5,CENTRO,2
SFE,4,779542,Estatal,Urbano,1,1,366.55725,354.05063,-.74978334,2,3,2,2,1,1,CENTRO,2
SFE,4,779543,Estatal,Urbano,2,2,422.4975,409.17859,.6738407,2,2,2,1,3,5,CENTRO,2
SFE,1,779485,Estatal,Urbano,3,3,480.33008,509.7182,.35214362,2,2,2,1,5,5,CENTRO,1
SFE,1,779483,Estatal,Urbano,3,3,462.37726,484.39673,-.41240174,2,2,2,1,5,7,CENTRO,1
SFE,1,779484,Estatal,Urbano,3,3,506.08969,497.49905,.36577851,2,2,2,1,7,7,CENTRO,1
SFE,2,779545,Estatal,Urbano,3,3,496.84225,495.96289,.25393364,2,2,2,1,3,5,CENTRO,1
SFE,1,779486,Estatal,Urbano,1,3,372.86063,469.48547,-.053647462,2,2,2,1,3,3,CENTRO,1
SFE,1,779488,Estatal,Urbano,3,3,454.78427,476.89221,-.37178358,2,2,2,1,5,5,CENTRO,1
SFE,1,779489,Estatal,Urbano,3,3,449.30331,540.50616,-.77467138,2,2,2,1,2,2,CENTRO,1
SFE,1,779490,Estatal,Urbano,4,2,566.74982,466.0238,.69508851,2,2,2,1,7,5,CENTRO,1
SFE,1,779491,Estatal,Urbano,3,2,464.53223,444.27264,.52010643,2,2,2,1,5,5,CENTRO,1
SFE,1,779492,Estatal,Urbano,1,2,380.13937,450.72311,.4566665,2,2,2,1,5,5,CENTRO,1
SFE,1,779493,Estatal,Urbano,2,2,427.73883,433.56271,-.79101628,2,2,2,1,4,3,CENTRO,1
SFE,1,779495,Estatal,Urbano,4,3,563.56274,534.28729,.35199222,2,2,2,1,4,4,CENTRO,1
SFE,1,779496,Estatal,Urbano,3,1,456.06985,335.10117,1.0554599,3,2,-9,1,7,7,CENTRO,1
SFE,1,779497,Estatal,Urbano,3,3,507.85385,479.27405,.4113594,2,2,2,1,7,7,CENTRO,1
SFE,1,779498,Estatal,Urbano,4,3,576.78076,525.47455,-.1235517,2,2,2,1,4,2,CENTRO,1
SFE,1,779499,Estatal,Urbano,3,1,464.00983,330.98978,-.70726687,2,2,2,1,4,2,CENTRO,1
SFE,1,779500,Estatal,Urbano,4,3,638.02106,534.89612,-.63203692,2,2,2,1,7,5,CENTRO,1
SFE,1,779502,Estatal,Urbano,2,2,414.45508,410.80481,-.057509921,2,2,2,1,7,4,CENTRO,1
SFE,1,779503,Estatal,Urbano,1,1,375.48947,378.76727,1.1706324,3,2,2,1,7,7,CENTRO,1
SFE,1,779504,Estatal,Urbano,2,2,436.00113,417.69879,.48868334,2,2,2,1,5,4,CENTRO,1
SFE,2,779546,Estatal,Urbano,3,1,486.78168,311.9314,.33108902,2,3,2,2,4,7,CENTRO,1
SFE,2,779547,Estatal,Urbano,3,2,447.05441,421.63458,-.015124559,2,2,2,1,4,4,CENTRO,1
SFE,2,779548,Estatal,Urbano,4,3,582.42188,477.14227,-.18684025,2,2,2,1,5,3,CENTRO,1
SFE,2,779549,Estatal,Urbano,1,1,369.21088,302.75262,.58295268,2,2,1,1,5,7,CENTRO,1
SFE,2,779551,Estatal,Urbano,1,1,385.79193,370.30316,.037201755,2,2,2,1,4,2,CENTRO,1
